CameraMaker,CameraModel,SensorDescription,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Fujifilm,FinePix F60fd,"1/1.6"" (~ 8 x 6 mm)",8,6,3995,3004
Fujifilm,FinePix F610,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2835,2116
Fujifilm,FinePix F650 Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2825,2124
Fujifilm,FinePix F660EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix F700,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2038,1521
Fujifilm,FinePix F70EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3647,2742
Fujifilm,FinePix F710,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2038,1521
Fujifilm,FinePix F72EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3647,2742
Fujifilm,FinePix F750EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix F75EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3647,2742
Fujifilm,FinePix F770EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix F800EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix F80EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix F810 Zoom,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2835,2116
Fujifilm,FinePix F850EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix F85EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix F900EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS10,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3701,2783
Fujifilm,FinePix HS11,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3701,2783
Fujifilm,FinePix HS20 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS22 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS25 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS30 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS35 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix HS50 EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix IS Pro,23 x 15.5 mm,23,15.5,3004,2030
Fujifilm,FinePix IS-1,"1/1.6"" (~ 8 x 6 mm)",8,6,3479,2616
Fujifilm,FinePix J10,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3302,2483
Fujifilm,FinePix J100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J110w,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J12,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3302,2483
Fujifilm,FinePix J120,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J15,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3302,2483
Fujifilm,FinePix J150w,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J20,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J210,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J22,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J25,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J26,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3683,2769
Fujifilm,FinePix J27,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix J28,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3683,2769
Fujifilm,FinePix J29,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3683,2769
Fujifilm,FinePix J30,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix J32,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix J35,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix J37,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix J38,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix J50,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3302,2483
Fujifilm,FinePix JV100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JV105,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JV110,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JV150,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix JV200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JV205,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JV250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JV255,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JX205,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JX210,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix JX250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX280,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix JX300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX305,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX350,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX355,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX370,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX375,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX400,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX405,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX420,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix JX520,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX530,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix JX550,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX580,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JX700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JZ100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix JZ200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JZ250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix JZ300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Fujifilm,FinePix JZ305,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Fujifilm,FinePix JZ310,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4011,3016
Fujifilm,FinePix JZ500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix JZ505,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix JZ510,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix JZ700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix M603,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2038,1521
Fujifilm,FinePix PR21,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1749,1315
Fujifilm,FinePix Real 3D W1,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Real 3D W3,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix S1,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4671,3512
Fujifilm,FinePix S1 Pro,23 x 15.5 mm,23,15.5,2142,1447
Fujifilm,FinePix S1000fd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix S100fs,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3842,2889
Fujifilm,FinePix S1500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix S1600,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1730,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1770,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1800,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1850,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1880,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S1900,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S2 Pro,23 x 15.5 mm,23,15.5,3004,2030
Fujifilm,FinePix S20 Pro,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2860,2134
Fujifilm,FinePix S2000hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix S200EXR,"1/1.6"" (~ 8 x 6 mm)",8,6,3995,3004
Fujifilm,FinePix S205EXR,"1/1.6"" (~ 8 x 6 mm)",8,6,3995,3004
Fujifilm,FinePix S2500hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S2550hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S2600hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix S2800hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S2900hd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S2950,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S2980,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S2990,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S3 Pro,23.5 x 15.6 mm,23.5,15.6,3035,2010
Fujifilm,FinePix S3000 Z,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2031,1527
Fujifilm,FinePix S304,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2108,1585
Fujifilm,FinePix S3200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S3250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S3300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix S3350,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix S3400,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix S3450,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4330,3256
Fujifilm,FinePix S3500 Zoom,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2306,1734
Fujifilm,FinePix S4000,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4050,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4400,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix S4600,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix S4700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix S4800,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix S5 Pro,23 x 15.5 mm,23,15.5,3004,2030
Fujifilm,FinePix S5000 Zoom,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2031,1527
Fujifilm,FinePix S5100 Zoom,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2306,1734
Fujifilm,FinePix S5200 Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2579,1939
Fujifilm,FinePix S5500 Zoom,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,2363,1777
Fujifilm,FinePix S5600 Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2635,1981
Fujifilm,FinePix S5700 Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3072,2310
Fujifilm,FinePix S5800,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
Fujifilm,FinePix S6000fd,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2860,2134
Fujifilm,FinePix S602 Zoom,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2038,1521
Fujifilm,FinePix S602Z Pro,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2038,1521
Fujifilm,FinePix S6500fd,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2905,2168
Fujifilm,FinePix S6600,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S6700,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S6800,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S7000 Zoom,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,2835,2116
Fujifilm,FinePix S8000fd,"1/2.35"" (~ 6.03 x 4.52 mm)",6.03,4.52,3262,2453
Fujifilm,FinePix S8100fd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix S8200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S8300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S8400,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S8500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S8600,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix S9000 Zoom,"1/1.6"" (~ 8 x 6 mm)",8,6,3479,2616
Fujifilm,FinePix S9100,"1/1.6"" (~ 8 x 6 mm)",8,6,3479,2616
Fujifilm,FinePix S9200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S9400W,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix S9500,"1/1.6"" (~ 8 x 6 mm)",8,6,3506,2636
Fujifilm,FinePix S9600,"1/1.6"" (~ 8 x 6 mm)",8,6,3459,2601
Fujifilm,FinePix SL1000,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4642,3490
Fujifilm,FinePix SL240,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix SL260,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix SL280,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix SL300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T205,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T305,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T350,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix T400,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix T500,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix T550,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4612,3468
Fujifilm,FinePix V10 Zoom,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2604,1958
Fujifilm,FinePix X100,23.6 x 15.8 mm,23.6,15.8,4281,2873
Fujifilm,FinePix XP10,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix XP100,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix XP11,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix XP150,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix XP170,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix XP20,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix XP200,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4671,3512
Fujifilm,FinePix XP22,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix XP30,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix XP33,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix XP50,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
Fujifilm,FinePix XP60,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4671,3512
Fujifilm,FinePix XP70,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4671,3512
Fujifilm,FinePix Z1,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2604,1958
Fujifilm,FinePix Z1000EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix Z100fd,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3262,2453
Fujifilm,FinePix Z10fd,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3051,2294
Fujifilm,FinePix Z110,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4315,3244
Fujifilm,FinePix Z2,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2604,1958
Fujifilm,FinePix Z200fd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z20fd,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z3,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2604,1958
Fujifilm,FinePix Z30,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z300,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z31,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z33WP,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z35,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z37,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,3647,2742
Fujifilm,FinePix Z5fd,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,2894,2176
Fujifilm,FinePix Z70,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix Z700EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix Z707EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix Z71,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
Fujifilm,FinePix Z80,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix Z800EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix Z808EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,3995,3004
Fujifilm,FinePix Z81,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix Z90,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix Z900EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix Z909EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,FinePix Z91,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
Fujifilm,FinePix Z950EXR,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,4612,3468
Fujifilm,MX-1200,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1264,950
Fujifilm,MX-1400,"1/2.7"" (~ 5.33 x 4 mm)",5.33,4,1264,950
Fujifilm,MX-1500,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1315,989
Fujifilm,MX-1700,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1315,989
Fujifilm,MX-2700,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1710,1286
Fujifilm,MX-2900 Zoom,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1710,1286
Fujifilm,MX-500,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1315,989
Fujifilm,MX-600 Zoom,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1315,989
Fujifilm,MX-700,"1/2"" (~ 6.4 x 4.8 mm)",6.4,4.8,1315,989
Fujifilm,X-A1,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X-E1,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X-E2,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X-M1,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X-Pro1,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X-S1,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
Fujifilm,X-T1,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X10,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
Fujifilm,X100S,23.6 x 15.8 mm,23.6,15.8,4929,3308
Fujifilm,X100T,23.6 x 15.6 mm,23.6,15.6,4962,3286
Fujifilm,X20,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
Fujifilm,X30,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
Fujifilm,XF1,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
Fujifilm,XQ1,"2/3"" (~ 8.8 x 6.6 mm)",8.8,6.6,3995,3004
GE,A1030,"1/1.7"" (~ 7.53 x 5.64 mm)",7.53,5.64,3678,2745
GE,A1035,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3665,2756
GE,A1050,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3665,2756
GE,A1235,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
GE,A1250,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4029,3029
GE,A1255,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4060,3053
GE,A1455,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4346,3268
GE,A1456W,"1/2.3"" (~ 6.16 x 4.62 mm)",6.16,4.62,4376,3290
GE,A730,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3137,2359
GE,A735,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3137,2359
GE,A830,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3322,2498
GE,A835,"1/2.5"" (~ 5.75 x 4.32 mm)",5.75,4.32,3362,2528
GE,A950,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3479,2616
GE,C1033,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,3665,2756
GE,C1233,"1/2.33"" (~ 6.08 x 4.56 mm)",6.08,4.56,4060,3053
